"language" "repetition" "vot" "consonant"
"spanish" 3 -77.49 "d"
"spanish" 1 -1.83 "t"
"spanish" 2 5.67 "t"
"spanish" 3 29.46 "t"
"spanish" 1 14.05 "t"
"spanish" 2 11.27 "t"
"spanish" 3 31.55 "t"
"spanish" 1 17.6 "t"
"spanish" 2 4.21 "t"
"spanish" 3 -6.66 "t"
"english" 1 15.82 "d"
"english" 2 13.05 "d"
"english" 3 15.14 "d"
"english" 1 10.2 "d"
"english" 2 9.62 "d"
"english" 3 20.43 "d"
"english" 1 28.33 "d"
"english" 2 7.94 "d"
"english" 3 16.64 "d"
"english" 1 34.85 "t"
"english" 2 70.66 "t"
"english" 3 22.34 "t"
"english" 1 49.94 "t"
"english" 2 50.37 "t"
"english" 3 52.64 "t"
"english" 1 36.87 "t"
"english" 2 26.64 "t"
"english" 3 50.56 "t"
"spanish" 1 -69.52 "d"
"spanish" 2 -64.61 "d"
"spanish" 3 -59.98 "d"
"spanish" 1 -58.96 "d"
"spanish" 2 -29.54 "d"
"spanish" 3 -59.33 "d"
"spanish" 1 -59.57 "d"
"spanish" 2 -55.92 "d"
"spanish" 3 -35.68 "d"
"spanish" 1 17.22 "t"
"spanish" 2 6.65 "t"
"spanish" 3 1.74 "t"
"spanish" 1 15.84 "t"
"spanish" 2 18.41 "t"
"spanish" 3 0.57 "t"
"spanish" 1 10.48 "t"
"spanish" 2 1.52 "t"
"spanish" 3 22.99 "t"
